event,type,date
task code done,cmd,2023-05-23 15:01:20.294626522 +02:00
profile,cmd,2023-05-23 15:01:30.329649139 +02:00
log,cmd,2023-05-23 15:02:38.271351470 +02:00
show,cmd,2023-05-23 15:05:31.942634685 +02:00
log,cmd,2023-05-23 15:05:37.482512770 +02:00
+5xp,xp,2023-05-23 15:10:23.280047998 +02:00
task code done,cmd,2023-05-23 15:10:23.286441792 +02:00
+5xp,xp,2023-05-23 15:10:25.528362679 +02:00
task code done,cmd,2023-05-23 15:10:25.531557297 +02:00
log,cmd,2023-05-23 15:10:31.712564666 +02:00
+5xp,xp,2023-05-23 15:13:54.363097535 +02:00
task plan done,cmd,2023-05-23 15:13:54.369866582 +02:00
add tasks master rec,cmd,2023-05-23 15:16:35.779258620 +02:00
+5xp,xp,2023-05-23 15:16:45.506270560 +02:00
task master done,cmd,2023-05-23 15:16:45.512256840 +02:00
show,cmd,2023-05-23 15:17:04.578699012 +02:00
add task master rec,cmd,2023-05-23 15:17:22.446080741 +02:00
+5xp,xp,2023-05-23 15:22:45.181841046 +02:00
+5xp,xp,2023-05-23 15:22:45.188798787 +02:00
task master done,cmd,2023-05-23 15:22:45.195404458 +02:00
+5xp,xp,2023-05-23 15:27:58.819848719 +02:00
+5xp,xp,2023-05-23 15:27:58.826788005 +02:00
task master done,cmd,2023-05-23 15:27:58.832999537 +02:00
profile,cmd,2023-05-23 15:28:05.294041449 +02:00
test,test,2023-05-23 15:31:06.377739873 +02:00
+5xp,xp,2023-05-23 15:33:33.146585827 +02:00
task code done,cmd,2023-05-23 15:33:33.152547261 +02:00
+5xp,xp,2023-05-23 15:38:51.573612906 +02:00
task code done,cmd,2023-05-23 15:38:51.579781127 +02:00
Est-ce que ça marche?,log,2023-05-23 15:40:29.070765754 +02:00
lvl 2,level_up,2023-05-23 15:44:54.985769862 +02:00
+5xp,xp,2023-05-23 15:44:54.988461506 +02:00
task code done,cmd,2023-05-23 15:44:54.994821406 +02:00
+5xp,xp,2023-05-23 15:51:09.782987207 +02:00
task code done,cmd,2023-05-23 15:51:09.789041044 +02:00
+5xp,xp,2023-05-23 15:56:43.573746998 +02:00
task code done,cmd,2023-05-23 15:56:43.576970610 +02:00
+5xp,xp,2023-05-23 15:57:22.616811733 +02:00
task code done,cmd,2023-05-23 15:57:22.623118013 +02:00
Test,log,2023-05-23 15:57:43.919665526 +02:00
+5xp,xp,2023-05-23 15:58:14.996270815 +02:00
task code done,cmd,2023-05-23 15:58:15.001228918 +02:00
pause,log,2023-05-23 15:58:26.986007704 +02:00
add task menage rec,cmd,2023-05-23 16:05:42.359189108 +02:00
task menage set points 10,cmd,2023-05-23 16:06:16.866050512 +02:00
start interaction multimodal,log,2023-05-23 16:07:07.265488411 +02:00
